Date,Zone_1_field1_ET,Zone_1_field1_rainfall,Zone_2_field1_ET,Zone_2_field1_rainfall,Zone_3_field1_ET,Zone_3_field1_rainfall,Zone_4_field1_ET,Zone_4_field1_rainfall,Zone_5_field1_ET,Zone_5_field1_rainfall,Zone_6_field1_ET,Zone_6_field1_rainfall,Zone_7_field1_ET,Zone_7_field1_rainfall,Zone_8_field1_ET,Zone_8_field1_rainfall,Zone_9_field1_ET,Zone_9_field1_rainfall,Zone_10_field1_ET,Zone_10_field1_rainfall,Zone_11_field1_ET,Zone_11_field1_rainfall,Zone_12_field1_ET,Zone_12_field1_rainfall
1981-01-01,7.043966643,2.08E-05,7.046959972,1.74E-05,7.289176436,8.02E-06,7.345249891,1.40E-05,7.342899958,1.18E-05,7.342299938,1.28E-05,7.390500069,5.18E-06,7.368466695,9.80E-06,7.358250141,1.02E-05,7.379173705,1.12E-05,7.371799946,9.34E-06,7.418690014,4.39E-06
1981-01-02,5.572106616,0.060356068,5.546959877,0.047834837,5.620482417,0,5.5479002,0,5.546000004,0,5.545499802,0,5.68325003,0,5.543633302,0,5.54460001,0,5.610652597,6.92E-05,5.709300041,0,5.759439993,0.000191957
1981-01-03,5.708513323,0.00092703,5.737360001,0.000999903,5.928194102,0.000800182,5.861400127,0.000922862,6.023766677,0.000630284,6.043200016,0.000695483,6.136283318,0.000586172,6.142266671,0.000392406,6.113399982,0.000473225,6.165568402,0.000449737,6.182300091,0.000602226,6.167889977,0.000530812
1981-01-04,6.643246651,0.000236078,6.631720066,0.000181709,6.733605834,5.77E-05,6.668550014,5.12E-05,6.696866671,3.21E-05,6.637599945,3.47E-05,6.764366627,2.09E-05,6.736050049,2.16E-05,6.723799944,2.47E-05,6.738789558,2.07E-05,6.747200012,2.00E-05,6.775599957,1.69E-05
1981-01-05,6.91571331,0.000117404,6.899499989,0.000106575,7.006105956,3.92E-05,6.953200102,3.62E-05,6.974933465,3.29E-05,6.964700222,3.41E-05,7.037466526,2.75E-05,6.990116676,3.74E-05,6.99180007,3.35E-05,7.018626313,5.30E-05,7.016600132,5.89E-05,7.159769917,4.20E-05
1981-01-06,6.124540043,0.000865579,6.128359985,0.00089762,6.372952938,0.001228231,6.369250059,0.000346673,6.392699877,0.000276873,6.381999969,0.000250243,6.441399972,0.001740209,6.436366717,0.000386993,6.427099943,0.000240061,6.461889443,0.001044738,6.470499992,0.000919665,6.530110073,0.003387614
1981-01-07,7.142133363,0.000133527,7.132859993,0.000142288,7.155788169,0.000363618,7.181900024,8.33E-05,7.210599899,8.73E-05,7.210100174,7.08E-05,7.190616687,0.00061874,7.080150048,0.000133071,7.125449896,8.80E-05,7.135979025,0.000372642,7.138100147,0.000306748,7.201789999,0.001481217
1981-01-08,7.577686659,0.990765091,7.579119968,0.887000291,7.66025288,0.001047081,7.667200089,0,7.682199955,0,7.681600094,0,7.712900003,0,7.690749963,0.088515118,7.680550098,0,7.69866321,0.368868164,7.745600224,0.269454032,7.693300009,0.014817744
1981-01-09,6.197606691,10.02029247,6.197900105,10.15915852,6.413758839,11.7264553,6.276900053,11.19923782,6.334166527,12.29506652,6.345600128,12.13359451,6.551050027,13.35506789,6.361633301,13.63705985,6.344400167,13.11597157,6.419336746,14.07288561,6.377999783,14.13240337,6.576149988,14.31519117
1981-01-10,4.298439948,3.364859406,4.301739979,3.17992835,4.718911732,2.066400865,4.70814991,2.531398892,4.958199978,2.183655898,4.964700222,2.351842403,4.974450032,1.352312803,5.091616631,2.280308803,4.987149954,2.189913392,5.159831549,2.565254036,5.204299927,2.368172169,5.039959955,1.632436621
1981-01-11,6.414999994,0.045052127,6.421460056,0.049968715,6.496064719,0,6.482699871,0,6.502866586,0,6.493299961,0,6.56676658,0,6.531483332,0,6.519150019,0,6.483078982,0,6.595900059,0,6.580200052,0.000223402
1981-01-12,7.001573372,1.22216765,7.004920006,1.054014921,7.060217661,0.019179525,7.064399958,0.003248406,7.09526666,0,7.084400177,0,7.087299903,0,7.087100029,0,7.083349943,0,7.089657934,0,7.109300137,0,7.083419991,0
1981-01-13,7.59488004,8.61E-07,7.590619946,8.51E-07,7.631229345,1.68E-06,7.606300116,3.29E-06,7.593066692,4.78E-06,7.63560009,4.97E-06,7.658233325,2.45E-06,7.60678339,4.53E-06,7.58585,5.03E-06,7.628036825,3.57E-06,7.648200035,2.82E-06,7.685160017,9.02E-07
1981-01-14,7.646513335,5.47E-05,7.655620003,5.57E-05,7.721176456,0.000136324,7.666949987,2.46E-05,7.694499969,2.64E-05,7.681499958,2.01E-05,7.738866647,0.000236114,7.684300105,3.91E-05,7.697649956,2.61E-05,7.716894752,0.000122776,7.675700188,8.61E-05,7.755240011,0.000636622
1981-01-15,7.515366713,0.00033912,7.525380039,0.000314713,7.590570534,0.000149199,7.697550058,3.33E-05,7.695333481,2.01E-05,7.694699764,1.58E-05,7.659300009,7.62E-05,7.733783325,1.47E-05,7.711050034,1.39E-05,7.716552609,2.27E-05,7.761199951,1.80E-05,7.69302001,0.000122711
1981-01-16,6.623346678,0.000591441,6.628540039,0.000321909,6.676329444,1.37E-05,6.654799938,0,6.634600163,0,6.63409996,0,6.706383308,9.33E-05,6.580966711,5.12E-05,6.633249998,0,6.634715733,0.000162656,6.458099842,0.000212062,6.719539976,0.000159856
1981-01-17,7.247326628,0.166310955,7.238219929,0.153603044,7.202135254,0.031200999,7.063799858,0.018960672,7.094799995,0.057485445,7.091599941,0.048976328,7.121666749,0.070552023,7.030399958,0.13526187,7.125099897,0.110932779,6.997047424,0.134482211,6.95510006,0.163809046,7.181030035,0.057131914
1981-01-18,6.351353359,0.001180752,6.319480038,0.00101675,6.420552927,5.16E-05,6.351199865,0,6.379000028,0,6.366600037,0,6.57705005,0,6.508866707,0,6.419349909,0,6.560663123,3.96E-05,6.603499889,0,6.625669909,0
1981-01-19,6.431873322,16.0387687,6.44314003,15.11413746,6.547852965,6.786787931,6.556450129,9.462916851,6.398266633,4.759073655,6.387800217,5.526418686,6.546583494,2.099811097,6.426000039,2.349752327,6.401949883,2.936388016,6.473178889,2.316689046,6.444200039,1.710851431,6.610050011,2.509346306
1981-01-20,6.770473289,0.001021932,6.77193985,0.001160092,6.744541224,0.00114237,6.691949844,0.001172864,6.690066655,0.001424036,6.689400196,0.001453531,6.6875,0.001234238,6.697400014,0.00160883,6.688599825,0.001607812,6.698557929,0.001741309,6.604400158,0.001974714,6.716549969,0.000844285
